k,outlier_percent,LP_Radius,charikar_radius,gonzalez_radius
10,0.1,1.8071210850000001,2.1013725,2.3728346666666664
10,0.2,1.4794873285,1.6742245,1.8687398333333334
20,0.1,1.4674397001666666,1.736396,1.9041873333333335
20,0.2,1.2131420881666666,1.3895941666666667,1.4992365
50,0.1,1.1180637121666666,1.3685,1.457878
50,0.2,0.9153561325833334,1.08195,1.1585606666666666
