dataset,N,k,outlier_percent,z,LP_Radius,LP_Time,OC_Local_radius,OC_Local_time,OC_Forward_radius,OC_Forward_time,DingRKC_radius,DingRKC_time,gonzalez_radius,gonzalez_time
diabetes,200,20,0.2,40,1.6234732866287231,6.28,1.8746487842305632,0.054,1.9476426855868545,0.016,1.9012864459458136,0.451,1.8897182941436768,0.001
diabetes,200,20,0.1,20,1.8739008903503418,9.71,2.1949506138520203,0.02,2.217769020189388,0.006,2.1957011330465557,0.117,2.269822359085083,0.001
diabetes,200,10,0.2,40,1.9004285335540771,10.46,2.1957011330465557,0.019,2.2447316570780886,0.005,2.2447316570780886,0.121,2.389012098312378,0.001
diabetes,200,10,0.1,20,2.2447316646575928,13.8,2.6463784962264354,0.006,2.6463784962264354,0.003,2.656274005225817,0.05,2.6562740802764893,0.0
covertype,200,20,0.1,20,2.36824631690979,6.88,2.862044273199852,0.011,2.8670445136833225,0.006,2.7105316060245426,0.093,2.7492783069610596,0.001
covertype,200,50,0.1,20,1.9536921977996826,3.47,2.148023061088142,0.031,2.1594853704306707,0.019,2.0802977352233607,0.244,2.1304938793182373,0.002
covertype,200,20,0.2,40,2.130507230758667,4.88,2.3887565327932783,0.051,2.4750897535943372,0.008,2.421467888024452,0.202,2.508742570877075,0.001
covertype,200,10,0.2,40,2.439890146255493,10.62,2.862044273199852,0.01,2.862044273199852,0.005,2.8536318196544364,0.104,3.023042917251587,0.0
covertype,200,50,0.2,40,1.7126266956329346,2.49,1.8978286521672005,0.06,1.8978286521672005,0.034,1.918535856425341,0.612,2.0033557415008545,0.002
covertype,200,10,0.1,20,2.74406099319458,16.19,3.295145460730169,0.023,3.3366772407271137,0.003,3.2418641137470434,0.114,3.336677312850952,0.001
diabetes,400,50,0.2,80,1.3811601400375366,33.17,1.580123480508754,0.433,1.5961163286683975,0.102,1.6382190267988022,1.769,1.614020824432373,0.003
diabetes,400,50,0.1,40,1.608174443244934,46.47,1.905082912650699,0.123,1.905082912650699,0.08,1.881574340775339,1.088,1.9205573797225952,0.006
diabetes,400,20,0.2,80,1.6878349781036377,66.14,1.9559934922609843,0.146,1.979167280617824,0.047,2.0416284945882,0.718,2.1060097217559814,0.001
covertype,400,20,0.1,40,2.357422113418579,86.11,2.7355951577145383,0.066,2.81681182854538,0.013,2.8177460849171787,0.357,2.854468584060669,0.001
covertype,400,10,0.2,80,2.477947950363159,124.99,2.7445157715863653,0.039,2.7488833630374714,0.02,2.8738913554226633,0.35,2.918592691421509,0.001
diabetes,400,10,0.2,80,1.9877253770828247,180.76,2.2400721719983,0.074,2.3209464074146062,0.014,2.313137435060117,0.498,2.3501901626586914,0.001
diabetes,400,20,0.1,40,2.011871814727783,194.41,2.3501903052107775,0.049,2.356929384246509,0.017,2.4795139278605367,0.314,2.4908885955810547,0.001
covertype,400,20,0.2,80,2.099080801010132,43.48,2.388587876182327,0.107,2.4271950152103763,0.03,2.429961074921266,0.623,2.540848970413208,0.001
covertype,400,50,0.2,80,1.6740972995758057,21.47,1.9450071271174159,0.673,2.0091489430706617,0.075,1.9996909235295472,1.941,2.0049428939819336,0.005
covertype,400,50,0.1,40,1.948263168334961,34.77,2.2456781917740627,0.115,2.2866945870078634,0.038,2.2813835452040987,1.137,2.335660934448242,0.004
covertype,400,10,0.1,40,2.8033273220062256,197.13,3.1801673290696937,0.023,3.2013777660131733,0.008,3.3226523341189935,0.155,3.202526807785034,0.001
diabetes,400,10,0.1,40,2.3788018226623535,273.56,2.7084677733812956,0.037,2.7325195677765866,0.008,2.6780284059224435,0.17,2.8803555965423584,0.001
diabetes,500,50,0.2,100,1.370910882949829,57.86,1.5727633352489558,0.584,1.587062329868072,0.137,1.6778819930493616,2.325,1.6682628393173218,0.004
diabetes,500,50,0.1,50,1.637736201286316,105.19,1.8804509795422415,0.545,1.950861104852892,0.089,1.9354115276140453,1.619,1.9218260049819946,0.005
diabetes,500,20,0.2,100,1.6918208599090576,166.51,1.9440874160089487,0.341,1.9948736887988137,0.051,2.0440052612990685,1.225,2.064631223678589,0.001
diabetes,500,20,0.1,50,1.9735379219055176,211.48,2.326334092748452,0.047,2.3283603839662486,0.02,2.3851212211041086,0.522,2.5340936183929443,0.002
diabetes,500,10,0.2,100,1.9618895053863525,234.28,2.193075856237554,0.054,2.2072012020624934,0.024,2.330464329747321,0.59,2.2873783111572266,0.001
covertype,500,50,0.1,50,1.917789340019226,69.3,2.2400728954534372,0.358,2.2907487437743033,0.079,2.3001597876343713,1.403,2.2774388790130615,0.009
