dataset,N,k,z,outlier_pct,oc_r,D_kz1,LB,cert_ratio
diabetes,5000,50,1000,0.2,1.36618388,0.9820067639115792,0.4910033819557896,2.7824327289929185
diabetes,10000,10,1000,0.1,2.25789666,1.2125100027092637,0.6062550013546318,3.7243349002563235
diabetes,10000,10,2000,0.2,1.90532374,0.9174563475674646,0.4587281737837323,4.15349186923554
diabetes,10000,20,1000,0.1,1.99600852,1.206101880837488,0.603050940418744,3.309850605015258
diabetes,10000,20,2000,0.2,1.66911829,0.9156290120943207,0.45781450604716034,3.645839675137032
diabetes,10000,50,1000,0.1,1.68458676,1.1927790340046402,0.5963895170023201,2.8246418020011013
diabetes,10000,50,2000,0.2,1.41385853,0.9096816332518014,0.4548408166259007,3.108468893553315
diabetes,15000,10,1500,0.1,2.31510925,1.1689345587951392,0.5844672793975696,3.961058782257686
diabetes,15000,10,3000,0.2,1.92242169,0.8786364106943587,0.43931820534717936,4.37592083961276
diabetes,15000,20,1500,0.1,2.02927542,1.1646854612041115,0.5823427306020558,3.484675455469378
diabetes,15000,20,3000,0.2,1.70588791,0.8766632320309444,0.4383316160154722,3.891774737827229
diabetes,15000,50,1500,0.1,1.7046808,1.153483369715396,0.576741684857698,2.9557093665262006
diabetes,15000,50,3000,0.2,1.44478405,0.8724228412343261,0.43621142061716306,3.3121188068755343
diabetes,20000,10,2000,0.1,2.31131625,1.1444149167620228,0.5722074583810114,4.039297664066765
diabetes,20000,10,4000,0.2,1.98914206,0.8550620039657931,0.42753100198289656,4.652626478019894
diabetes,20000,20,2000,0.1,2.06039667,1.141019555440532,0.570509777720266,3.6115010652985853
diabetes,20000,20,4000,0.2,1.74723339,0.8541486529558111,0.42707432647790555,4.09116933909253
diabetes,20000,50,2000,0.1,1.73585558,1.1337376301694924,0.5668688150847462,3.0621821730315006
diabetes,20000,50,4000,0.2,1.47441304,0.8507144137918247,0.42535720689591233,3.4662937787270134
covertype,500,10,50,0.1,3.31111741,2.6891348727629025,1.3445674363814513,2.462589320853255
covertype,500,10,100,0.2,2.81058168,2.1087521666033164,1.0543760833016582,2.6656348949029502
covertype,500,20,50,0.1,2.87453914,2.576506395474551,1.2882531977372755,2.2313464038349933
covertype,500,20,100,0.2,2.47786236,2.002895803408543,1.0014479017042714,2.4742798459941406
covertype,500,50,50,0.1,2.27788353,2.1619946304843696,1.0809973152421848,2.1072055387017006
covertype,500,50,100,0.2,1.97360134,1.7974070219323013,0.8987035109661506,2.196053888649307
covertype,1000,10,100,0.1,3.41841221,2.4490638473696293,1.2245319236848147,2.791607261420711
covertype,1000,10,200,0.2,2.8966229,1.8826728532679722,0.9413364266339861,3.0771388613502317
covertype,1000,20,100,0.1,2.92729759,2.369826571689854,1.184913285844927,2.4704741055482633
covertype,1000,20,200,0.2,2.49432325,1.8685715851750666,0.9342857925875333,2.669764722732104
covertype,1000,50,100,0.1,2.40600133,2.1693656356173427,1.0846828178086714,2.2181611900709557
covertype,1000,50,200,0.2,2.06943297,1.7473973979640136,0.8736986989820068,2.368588819476562
covertype,5000,10,500,0.1,2.79328966,1.5707956649242147,0.7853978324621074,3.5565283535904926
covertype,5000,10,1000,0.2,2.45452189,1.177102554720513,0.5885512773602565,4.170446967694829
covertype,5000,20,500,0.1,2.43157315,1.5590286437231395,0.7795143218615698,3.1193437783068876
covertype,5000,20,1000,0.2,2.1119113,1.1706706815959214,0.5853353407979607,3.608036543839859
covertype,5000,50,500,0.1,2.05263972,1.5234522016250729,0.7617261008125364,2.694721524981802
covertype,5000,50,1000,0.2,1.74959779,1.1520793834573655,0.5760396917286827,3.037286866030871
covertype,10000,10,1000,0.1,2.73508,1.318537527790387,0.6592687638951935,4.148657042144964
covertype,10000,10,2000,0.2,2.31290913,1.0104008255960675,0.5052004127980337,4.578201187900933
covertype,10000,20,1000,0.1,2.37443709,1.3152314292744476,0.6576157146372238,3.6106757140222343
covertype,10000,20,2000,0.2,2.01633739,1.0082503039558954,0.5041251519779477,3.9996762353333284
covertype,10000,50,1000,0.1,1.97925234,1.2964361063234349,0.6482180531617174,3.0533742933355423
covertype,10000,50,2000,0.2,1.68359327,1.0020858037463973,0.5010429018731987,3.3601778684135017
covertype,15000,10,1500,0.1,2.92471409,1.3114609955299346,0.6557304977649673,4.460238009317514
covertype,15000,10,3000,0.2,2.5125339,1.013832106864357,0.5069160534321785,4.956508840050295
covertype,15000,20,1500,0.1,2.56364703,1.3091083736685745,0.6545541868342872,3.9166307107421123
covertype,15000,20,3000,0.2,2.20541883,1.012023838532299,0.5060119192661495,4.358432570518176
covertype,15000,50,1500,0.1,2.15703321,1.3006219340362017,0.6503109670181009,3.3169257776640886
covertype,15000,50,3000,0.2,1.86576581,1.0087509324297463,0.5043754662148732,3.6991605162752896
