N,k,z,local_radius,local_time,opt_radius,opt_time,gap
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,5,0,3.6280918315956034,0.0,3.6280918315956034,0.0,1.0
50,10,0,2.420870091747693,0.0004813671112060547,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
50,10,0,2.420870091747693,0.0,2.420870091747693,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,0,3.631365183583303,0.0,3.631365183583303,0.0,1.0
100,5,1,3.115424922749149,0.0,3.115424922749149,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,0,2.5861990053160575,0.0,2.5861990053160575,0.0,1.0
100,10,1,2.555885706817742,0.0,2.555885706817742,0.0,1.0
150,5,0,3.661571316513139,0.0,3.661571316513139,0.0,1.0
150,5,0,3.661571316513139,0.0,3.661571316513139,0.0,1.0
150,5,0,3.661571316513139,0.0,3.661571316513139,0.0,1.0
150,5,0,3.661571316513139,0.0,3.661571316513139,0.0,1.0
150,5,0,3.661571316513139,0.0,3.661571316513139,0.0,1.0
150,5,0,3.661571316513139,0.0,3.661571316513139,0.0,1.0
150,5,1,3.6518151023152123,0.0,3.6518151023152123,0.0,1.0
150,5,1,3.6518151023152123,0.0,3.6518151023152123,0.0,1.0
150,5,1,3.6518151023152123,0.0,3.6518151023152123,0.0,1.0
150,5,1,3.6518151023152123,0.0,3.6518151023152123,0.0,1.0
150,10,0,3.08543777700263,0.0,3.08543777700263,0.0,1.0
150,10,0,3.08543777700263,0.0,3.08543777700263,0.0,1.0
150,10,0,3.08543777700263,0.0,3.08543777700263,0.0,1.0
150,10,0,3.08543777700263,0.0,3.08543777700263,0.0,1.0
150,10,0,3.08543777700263,0.0,3.08543777700263,0.0,1.0
150,10,0,3.08543777700263,0.0033152103424072266,3.08543777700263,0.0,1.0
150,10,1,2.9825504040990163,0.00047707557678222656,2.9825504040990163,0.0,1.0
150,10,1,2.9825504040990163,0.0,2.9825504040990163,0.0,1.0
150,10,1,2.9825504040990163,0.0,2.9825504040990163,0.0,1.0
150,10,1,2.9825504040990163,0.0,2.9825504040990163,0.0,1.0
200,5,0,4.027063008874075,0.0,4.027063008874075,0.0,1.0
200,5,0,4.027063008874075,0.0,4.027063008874075,0.0,1.0
200,5,0,4.027063008874075,0.0,4.027063008874075,0.0,1.0
200,5,0,4.027063008874075,0.0,4.027063008874075,0.0,1.0
200,5,1,4.018938530003511,0.0,4.018938530003511,0.0,1.0
200,5,1,4.018938530003511,0.0,4.018938530003511,0.0,1.0
200,5,1,4.018938530003511,0.0,4.018938530003511,0.0,1.0
200,5,1,4.018938530003511,0.0,4.018938530003511,0.0,1.0
200,5,1,4.018938530003511,0.0,4.018938530003511,0.0,1.0
200,5,2,3.6877376434085676,0.0,3.6877376434085676,0.0,1.0
200,10,0,3.269035600940606,0.0,3.269035600940606,0.0,1.0
200,10,0,3.269035600940606,0.0,3.269035600940606,0.0,1.0
200,10,0,3.269035600940606,0.0,3.269035600940606,0.0,1.0
200,10,0,3.269035600940606,0.0,3.269035600940606,0.0,1.0
200,10,1,3.1963516458368937,0.0,3.1963516458368937,0.0,1.0
200,10,1,3.1963516458368937,0.0,3.1963516458368937,0.0,1.0
200,10,1,3.1963516458368937,0.0,3.1963516458368937,0.0,1.0
200,10,1,3.1963516458368937,0.0,3.1963516458368937,0.0,1.0
200,10,1,3.1963516458368937,0.0,3.1963516458368937,0.0,1.0
200,10,2,3.1070343412719192,0.0,3.1070343412719192,0.0,1.0
250,5,0,4.438159507155088,0.0,4.438159507155088,0.0,1.0
250,5,0,4.438159507155088,0.0,4.438159507155088,0.0,1.0
250,5,0,4.438159507155088,0.0,4.438159507155088,0.0,1.0
250,5,1,4.018938530003511,0.0,4.018938530003511,0.0,1.0
