N,k,outlier_pct,z,LP_Radius,OverclusterDRG_radius,OC_LP,gonzalez_radius,Gonz_LP,charikar_radius,Char3_LP,SimplifiedDRG_radius,Simp_LP,OverclusterDRG_time,gonzalez_time,charikar_time,SimplifiedDRG_time,D_kz1,LB,cert_ratio
500,10,0.1,50,1.781567314,2.1075148582458496,1.1829555031036283,2.347544,1.3176847046712266,2.293026,3.861250678513515,2.476890802383423,1.390287519825604,0.0110421180725097,0.001518,0.0411,0.0020098686218261,1.7024635778470691,0.8512317889235346,2.4758413462342697
500,10,0.2,100,1.454164603,1.7086552381515503,1.1750081349982842,1.794867,1.2342942444735054,1.710126,3.5280586457790437,1.8609135150909424,1.2797131158685908,0.0226030349731445,0.000188,0.0514,0.0003809928894042,1.208661888710873,0.6043309443554366,2.8273502360101004
500,20,0.1,50,1.396085515,1.7912510633468628,1.2830525380437479,1.804958,1.2928706591444006,1.73739,3.733417433243694,1.901821494102478,1.3622528660806843,0.024634838104248,0.000332,0.0656,0.0006699562072753,1.6027939144299757,0.8013969572149878,2.235160799177242
500,20,0.2,100,1.190512775,1.3645881414413452,1.146218814360346,1.439944,1.209515790370246,1.421619,3.5823697901939777,1.5614922046661377,1.3116131447360049,0.0447080135345459,0.000357,0.0791,0.0006539821624755,1.1328485775836097,0.5664242887918048,2.4091271657012467
500,50,0.1,50,1.044301669,1.3303179740905762,1.273882838245829,1.353229,1.2958219259534671,1.353,3.8868079219741247,1.3518389463424685,1.2944908415563094,0.0741889476776123,0.000772,0.1373,0.0015408992767333,1.2700704743548668,0.6350352371774334,2.094872687700754
500,50,0.2,100,0.8614662725,1.0498783588409424,1.2187109261911846,1.071111,1.2433580213089537,1.125,3.9177389849583464,1.1077097654342651,1.2858422909810032,0.1252179145812988,0.000911,0.1492,0.001476764678955,0.9811129154905728,0.4905564577452864,2.1401784489117355
1000,10,0.1,100,1.803763113,2.116579055786133,1.1734240713382038,2.429189,1.346733937783991,2.152947,3.580758999588213,2.2921407222747803,1.2707548489904064,0.0376117229461669,0.00027,0.1506,0.0006411075592041,1.454777274462311,0.7273886372311555,2.9098324436892584
1000,10,0.2,200,1.47758163,1.6831718683242798,1.1391396821333517,1.976952,1.3379646578307827,1.720983,3.494188676398203,1.9651131629943848,1.3299523512581737,0.0724189281463623,0.000267,0.1982,0.0006062984466552,1.0132396232794374,0.5066198116397187,3.322356981809592
1000,20,0.1,100,1.460662755,1.7294257879257202,1.1840007435020279,1.866454,1.2778130979316988,1.779135,3.6540981015155682,1.910261154174805,1.307804383753733,0.0805699825286865,0.000484,0.249,0.0011737346649169,1.406072386829018,0.7030361934145091,2.4599384841429544
1000,20,0.2,200,1.195066574,1.3958345651626587,1.1679973279569433,1.456671,1.2189036424342332,1.400784,3.5164166511111876,1.5332245826721191,1.2829616491910343,0.1529920101165771,0.000511,0.298,0.0011780261993408,0.9770177979277286,0.4885088989638643,2.8573370272747285
1000,50,0.1,100,1.107916988,1.3786269426345823,1.2443413699461952,1.39347,1.2577386348371435,1.368,3.7042486435815896,1.3294273614883425,1.1999340888239387,0.236814260482788,0.001242,0.4569,0.0030829906463623,1.2197323318386522,0.6098661659193261,2.26054013105713
1000,50,0.2,200,0.890149018,1.0622650384902954,1.193356412252196,1.155639,1.2982534122168745,1.0863,3.6610723981049205,1.152164101600647,1.2943496856170738,0.4147951602935791,0.001336,0.7242,0.0029640197753906,0.8914284211356966,0.4457142105678483,2.383287347147738
2000,10,0.1,200,1.801004735,2.042212724685669,1.133929681026446,2.459514,1.3656343885181401,2.0145,3.3556269356504496,2.4076366424560547,1.3368297126970379,0.1405739784240722,0.000815,0.6354,0.0012300014495849,1.1889819036106994,0.5944909518053497,3.435229280586826
2000,10,0.2,400,1.477757284,1.656419277191162,1.1209007697851159,1.910563,1.2928801100736107,1.632,3.3131286531354363,1.7989240884780884,1.217333934303983,0.2738959789276123,0.000922,0.8155,0.0012142658233642,0.8465240286487173,0.4232620143243586,3.913460743306384
2000,20,0.1,200,1.458563794,1.6961653232574463,1.1629010196433316,1.950309,1.3371434338510668,1.731,3.560351642733839,1.8700029850006104,1.28208515300676,0.2942919731140136,0.001827,1.0305,0.0023660659790039,1.1646142687662662,0.5823071343831331,2.9128362389965883
2000,20,0.2,400,1.207354204,1.3324377536773682,1.1036013700560803,1.586505,1.3140344355814244,1.396,3.468741804289936,1.535022258758545,1.2713934764735741,0.571314811706543,0.002078,1.2248,0.0023989677429199,0.8314097936365492,0.4157048968182746,3.205249117524452
2000,50,0.1,200,1.107394906,1.36298930644989,1.2308069136538813,1.48046,1.3368853260735518,1.372,3.716831256581562,1.4751161336898804,1.332059706702209,0.8033573627471924,0.005439,2.0759,0.0058181285858154,1.089761843213681,0.5448809216068405,2.501444356742144
2000,50,0.2,400,0.908636899,1.0425019264221191,1.1473251059575549,1.195763,1.315996523271283,1.0544,3.481258579176411,1.1339404582977295,1.247957748079224,1.5056729316711426,0.004711,2.8832,0.0059030055999755,0.7907300897480302,0.3953650448740151,2.636808539192728
