N,k,outlier_pct,z,oc_correct_r,oc_correct_t,ding_radius,ding_time_s,gonz_radius,char_radius,char_3r,LP_est,Gonz_LP,Char_LP,OC_LP,Ding_LP,LP_Radius,Char3_LP,D_kz1,LB,cert_ratio
5000,10,0.2,1000,1.87600541,5.5643,2.03953362,6.9346,3.2007294,0.65116031,1.95348093,1.6855256,1.8918364740345777,1.159,1.1088395851658663,1.21,1.69186367,1.1546325892794895,0.9984101219796332,0.4992050609898166,3.757985558640539
5000,20,0.1,500,1.91876972,3.8809,2.0816412,6.3063,3.053474,0.6627045,1.9881135,1.6447866,1.8335351039754761,1.2087,1.1521734385376117,1.2656,1.66534799,1.193812651732927,1.305440718751336,0.652720359375668,2.939650483455607
5000,20,0.2,1000,1.64492691,6.9442,1.77737904,13.2636,2.7942297,0.55419025,1.66257075,1.47087516,1.9557729966768589,1.1303,1.1513382854978265,1.2084,1.4287086,1.1636877876986251,0.9945295689849412,0.4972647844924706,3.307949730803643
5000,50,0.1,500,1.64068031,9.3922,1.74064004,15.0811,2.4224017,0.55419025,1.66257075,1.35965196,1.756944788302626,1.2228,1.189969739504904,1.2802,1.37875801,1.2058466663051335,1.2737895272640969,0.6368947636320484,2.5760618609008787
5000,50,0.2,1000,1.36618388,17.2934,1.50997078,32.0316,2.2706058,0.47326267,1.41978801,1.18649326,1.8823073623828008,1.1966,1.132551487225436,1.2726,1.20628854,1.1769887244390136,0.9820067639115792,0.4910033819557896,2.7824327289929185
10000,10,0.1,1000,2.25789666,6.8464,2.4568398,13.0052,4.3354573,0.78485295,2.35455885,2.01089297,2.1411250851717374,1.1709,1.1150932517433587,1.2218,2.02485008,1.1628312008166055,1.2125100027092637,0.6062550013546318,3.724334900256323
10000,10,0.2,2000,1.90532374,17.1756,2.07470369,27.4785,3.7847042,0.66816528,2.0044958399999997,1.7118671,2.190703354552537,1.1709,1.1028600620166265,1.212,1.72762058,1.1602639278585114,0.9174563475674646,0.4587281737837323,4.15349186923554
10000,20,0.1,1000,1.99600852,13.9859,2.14780354,24.906,3.491902,0.68834103,2.06502309,1.71099639,2.0241539704682836,1.2069,1.157028052576081,1.2553,1.72511679,1.1970337903905046,1.206101880837488,0.603050940418744,3.309850605015258
10000,20,0.2,2000,1.66911829,30.3125,1.84518528,51.8612,3.193714,0.5792096,1.7376288,1.49250682,2.1678894707990297,1.1642,1.1329956177694938,1.2363,1.47319042,1.179500474894481,0.9156290120943208,0.4578145060471603,3.645839675137032
10000,50,0.1,1000,1.68458676,34.9315,1.81209183,61.9503,2.8197188,0.5792096,1.7376288,1.39603778,1.9352768983438773,1.2447,1.1561939580230347,1.298,1.45701052,1.1925986642841808,1.1927790340046402,0.5963895170023201,2.8246418020011013
10000,50,0.2,2000,1.41385853,73.809,1.56517923,139.8463,2.6517506,0.4870328,1.4610984,1.22789739,2.10696453662658,1.1899,1.1233898778101483,1.2747,1.25856442,1.1609246032872915,0.9096816332518014,0.4548408166259007,3.108468893553315
15000,10,0.1,1500,2.31510925,15.1741,2.46362185,32.8315,4.3364367,0.80578464,2.41735392,2.06184676,2.1366325642189654,1.1724,1.1406918065411966,1.1949,2.02956595,1.1910694106786726,1.1689345587951392,0.5844672793975696,3.961058782257686
15000,10,0.2,3000,1.92242169,34.1655,2.07850122,68.6546,3.8083332,0.68144924,2.04434772,1.72722901,2.198338788917705,1.1836,1.109707041858556,1.2034,1.73236865,1.1800881527150704,0.8786364106943587,0.4393182053471793,4.37592083961276
15000,20,0.1,1500,2.02927542,30.5884,2.20496273,62.8195,3.4252226,0.7134452,2.1403356,1.73951307,1.9295470201936422,1.2304,1.1431614225052704,1.2676,1.77514337,1.2057254845843801,1.1646854612041115,0.5823427306020558,3.484675455469378
15000,20,0.2,3000,1.70588791,64.4551,1.88388038,133.2224,3.1718397,0.59561975,1.78685925,1.5253858,2.0321231349466826,1.1714,1.0929222834107424,1.235,1.56085015,1.1447987175450507,0.8766632320309444,0.4383316160154722,3.891774737827229
15000,50,0.1,1500,1.7046808,77.1892,1.87948883,153.4902,2.992645,0.58115336,1.7434600799999995,1.41268996,2.0120112292553625,1.2341,1.1460887983359251,1.3304,1.48738981,1.1721608338838891,1.153483369715396,0.576741684857698,2.9557093665262006
15000,50,0.2,3000,1.44478405,166.61,1.59760189,323.5238,2.8283134,0.49858865,1.49576595,1.25475535,2.2264687328573327,1.1921,1.137344437520957,1.2732,1.27031355,1.1774777573615585,0.8724228412343261,0.436211420617163,3.3121188068755343
20000,10,0.1,2000,2.31131625,35.1473,2.49694657,66.1528,4.7822413,0.83127223,2.49381669,2.05846869,2.3184438122077697,1.2115,1.1205325122067276,1.213,2.0626945,1.2090092304022724,1.1444149167620228,0.5722074583810114,4.039297664066765
20000,10,0.2,4000,1.98914206,60.6517,2.14775229,137.9566,4.2671065,0.69359937,2.08079811,1.78717494,2.414386967764308,1.1643,1.1254836659679925,1.2018,1.76736644,1.1773439072431409,0.8550620039657931,0.4275310019828965,4.652626478019894
20000,20,0.1,2000,2.06039667,56.5685,2.23731995,132.9347,3.7724574,0.73499003,2.20497009,1.76619049,2.0854012782744844,1.2484,1.1389800848037384,1.2667,1.80898393,1.2188997665667491,1.141019555440532,0.570509777720266,3.6115010652985857
20000,20,0.2,4000,1.74723339,117.1578,1.91759801,263.1363,3.5643196,0.60817252,1.82451756,1.56235647,2.2752326593409893,1.1678,1.115321553212869,1.2274,1.56657368,1.164654802575261,0.8541486529558111,0.4270743264779055,4.09116933909253
20000,50,0.1,2000,1.73585558,145.4475,1.91377211,311.3281,3.0514343,0.59777982,1.79333946,1.43852488,2.005479720814913,1.2467,1.1408481460516482,1.3304,1.52154832,1.1786280044001496,1.1337376301694924,0.5668688150847462,3.0621821730315006
20000,50,0.2,4000,1.47441304,295.3511,1.63201547,638.6083,2.9059708,0.50355559,1.5106667700000005,1.28048732,2.2303298263462024,1.1798,1.131610606502232,1.2745,1.30293321,1.159435309811468,0.8507144137918247,0.4253572068959123,3.4662937787270134
