N,k,outlier_pct,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time,OC_LP,Fwd_LP,Char_LP,Gonz_LP,Simp_LP,Ding_LP,D_kz1,LB,cert_ratio,cert_tight
500,10,0.1,50,2.293026,0.0411,2.347544,0.001518,1.781567314,12.1894,2.476890802383423,0.0018489360809326,2.1075148582458496,0.0032930374145507,2.0848581790924072,0.009282112121582,2.19807053,0.058422,1.170238229400075,1.1829555031036283,1.287083559504505,1.3176847046712266,1.390287519825604,1.2337847201882375,1.7024635778470691,0.8512317889235346,2.449225001017541,0.47779939732523324
500,10,0.2,100,1.710126,0.0514,1.794867,0.000188,1.454164603,7.797,1.8609135150909424,0.0003368854522705,1.7086552381515503,0.0065782070159912,1.6822408437728882,0.0112590789794921,1.79653573,0.138438,1.1568434827132759,1.1750081349982842,1.1760195485930145,1.2342942444735054,1.2797131158685908,1.2354417968183757,1.208661888710873,0.6043309443554366,2.7836417437917595,0.4155863394753782
500,20,0.1,50,1.73739,0.0656,1.804958,0.000332,1.396085515,6.8674,1.901821494102478,0.0008587837219238,1.7912510633468628,0.0067362785339355,1.7662585973739624,0.0185158252716064,1.75854075,0.106965,1.2651507220701752,1.2830525380437479,1.244472477747898,1.2928706591444006,1.3622528660806843,1.2596225167481951,1.6027939144299757,0.8013969572149878,2.2039746738146584,0.5740314247261479
500,20,0.2,100,1.421619,0.0791,1.439944,0.000357,1.190512775,5.1429,1.5614922046661377,0.0006270408630371,1.3645881414413452,0.0126383304595947,1.3507273197174072,0.0269360542297363,1.46148741,0.213161,1.134576081905049,1.146218814360346,1.1941232633979926,1.209515790370246,1.3116131447360049,1.2276116986648884,1.1328485775836097,0.5664242887918048,2.3846564253071447,0.4757817813351939
500,50,0.1,50,1.353,0.1373,1.353229,0.000772,1.044301669,3.4549,1.3518389463424685,0.0015308856964111,1.3303179740905762,0.0185861587524414,1.300015211105347,0.0304789543151855,1.31901288,0.249925,1.244865587881529,1.273882838245829,1.2956026406580414,1.2958219259534671,1.2944908415563094,1.2630573321433618,1.2700704743548668,0.6350352371774334,2.0471544490721123,0.6080955877294815
500,50,0.2,100,1.125,0.1492,1.071111,0.000911,0.8614662725,2.7172,1.1077097654342651,0.0014350414276123,1.0498783588409424,0.0322880744934082,1.0446712970733645,0.0445220470428466,1.0740329,0.518191,1.2126665087440953,1.2187109261911846,1.3059129949861155,1.2433580213089537,1.2858422909810032,1.2467497965801093,0.9811129154905728,0.4905564577452864,2.1295638464834834,0.5694436026168238
1000,10,0.1,100,2.152947,0.1506,2.429189,0.00027,1.803763113,122.1334,2.2921407222747803,0.0005960464477539,2.116579055786133,0.0114428997039794,2.0441701412200928,0.0300359725952148,2.15184832,0.162547,1.1332808207948384,1.1734240713382038,1.193586333196071,1.346733937783991,1.2707548489904064,1.1929772288230622,1.454777274462311,0.7273886372311555,2.8102860514859533,0.4032617320915108
1000,10,0.2,200,1.720983,0.1982,1.976952,0.000267,1.47758163,51.6682,1.9651131629943848,0.0006070137023925,1.6831718683242798,0.0235600471496582,1.6450539827346802,0.0325918197631835,1.78216243,0.333428,1.1133422000750512,1.1391396821333517,1.164729558799401,1.3379646578307827,1.3299523512581737,1.206134668850749,1.0132396232794374,0.5066198116397187,3.2471173549457553,0.3428709462500009
1000,20,0.1,100,1.779135,0.249,1.866454,0.000484,1.460662755,52.4605,1.910261154174805,0.0011899471282958,1.7294257879257202,0.0223329067230224,1.715378761291504,0.0295460224151611,1.80568337,0.323704,1.1743838578888828,1.1840007435020279,1.2180327005051894,1.2778130979316988,1.307804383753733,1.236208264925602,1.406072386829018,0.7030361934145091,2.4399579671143887,0.48131315117602835
1000,20,0.2,200,1.400784,0.298,1.456671,0.000511,1.195066574,26.9873,1.5332245826721191,0.001147985458374,1.3958345651626587,0.0445270538330078,1.3847575187683103,0.0545990467071533,1.52281141,0.647348,1.1587283494453342,1.1679973279569433,1.1721388837037292,1.2189036424342332,1.2829616491910343,1.2742481825953909,0.9770177979277286,0.4885088989638643,2.834661808014971,0.408771284873929
1000,50,0.1,100,1.368,0.4569,1.39347,0.001242,1.107916988,22.1193,1.3294273614883425,0.002821922302246,1.3786269426345823,0.0577948093414306,1.3671164512634275,0.074186086654663,1.37911034,0.812057,1.2339520614548314,1.2443413699461952,1.23474954786053,1.2577386348371435,1.1999340888239387,1.2447776818456007,1.2197323318386522,0.6098661659193261,2.241666332157655,0.5504619682926336
1000,50,0.2,200,1.0863,0.7242,1.155639,0.001336,0.890149018,16.4312,1.152164101600647,0.0028691291809082,1.0622650384902954,0.1060967445373535,1.0588912963867188,0.1257200241088867,1.10264933,1.642842,1.1895663253843176,1.193356412252196,1.2203574660349734,1.2982534122168745,1.2943496856170738,1.2387244244536144,0.8914284211356966,0.4457142105678483,2.37571805269047,0.500718645479479
2000,10,0.1,200,2.0145,0.6354,2.459514,0.000815,1.801004735,1096.0586,2.4076366424560547,0.0011889934539794,2.042212724685669,0.0448989868164062,2.008885383605957,0.0712850093841552,2.251547336578369,0.0230548381805419,1.115424820693743,1.133929681026446,1.1185423118834832,1.3656343885181401,1.3368297126970379,1.2501618084742954,1.1889819036106994,0.5944909518053497,3.3791689806301934,0.33008850018673036
2000,10,0.2,400,1.632,0.8155,1.910563,0.000922,1.477757284,473.9481,1.7989240884780884,0.0011830329895019,1.656419277191162,0.0899038314819336,1.6077114343643188,0.1153616905212402,1.7425379753112793,0.0232598781585693,1.0879401182936879,1.1209007697851159,1.104376217711812,1.2928801100736107,1.217333934303983,1.1791773887214887,0.8465240286487173,0.4232620143243586,3.7983834597835666,0.2864218765199865
