dataset,N,k,z,knee_O,O,D_kO1,rho_O,radius_at_O,radius_at_Oz
adult,1000,10,100,300,100,1.454777274462311,1.0,2.04417,
adult,1000,10,100,300,150,1.173912155972224,0.806936000843225,1.987711,
adult,1000,10,100,300,200,1.0132396232794374,0.6964912368829331,2.024059,
adult,1000,10,100,300,300,0.7570571103962368,0.5203938250108057,1.932037,
adult,1000,10,100,300,500,0.5034642218063758,0.34607649613749797,,
adult,1000,10,100,300,750,0.2617538706566233,0.17992710997865163,,
adult,1000,10,100,300,1000,,,,
adult,1000,10,100,300,1500,,,,
adult,1000,10,100,300,2000,,,,
adult,1000,10,200,150,1,3.988956726395031,3.9368345204310398,2.458162,
adult,1000,10,200,150,5,3.6826138884101396,3.634494549760147,2.266832,
adult,1000,10,200,150,10,3.2291460817552524,3.186952037370827,2.095839,
adult,1000,10,200,150,20,2.7308612276593665,2.695178085141103,2.002285,
adult,1000,10,200,150,30,2.434361095301833,2.402552209143592,1.93252,
adult,1000,10,200,150,50,1.9844229125860293,1.9584932004171665,1.854127,
adult,1000,10,200,150,75,1.6414525586735629,1.6200043118732963,1.725085,
adult,1000,10,200,150,100,1.454777274462311,1.435768243797848,1.770316,
adult,1000,10,200,150,150,1.173912155972224,1.158573084787936,1.603135,
adult,1000,10,200,150,200,1.0132396232794374,1.0,1.645054,
adult,1000,10,200,150,300,0.7570571103962368,0.7471649282190093,1.638532,
adult,1000,10,200,150,500,0.5034642218063758,0.49688564307904826,1.611084,
adult,1000,10,200,150,750,0.2617538706566233,0.25833363070567095,,
adult,1000,10,200,150,1000,,,,
adult,1000,10,200,150,1500,,,,
adult,1000,10,200,150,2000,,,,
adult,1000,20,100,150,1,3.1209687317429435,2.219635888577095,2.307477,
adult,1000,20,100,150,5,2.9262496334601886,2.081151483288483,2.143127,
adult,1000,20,100,150,10,2.7308612276593665,1.9421910658654065,2.096634,
adult,1000,20,100,150,20,2.434361095301833,1.7313198937017868,1.981099,
adult,1000,20,100,150,30,2.133421916294167,1.5172916673980574,1.935252,
adult,1000,20,100,150,50,1.8214085474219162,1.2953874668782641,1.79262,
adult,1000,20,100,150,75,1.5447706866887445,1.098642360918928,1.734035,
adult,1000,20,100,150,100,1.4060723868290181,1.0000000000000002,1.715379,
adult,1000,20,100,150,150,1.118719048162337,0.7956340360863485,1.670027,
adult,1000,20,100,150,200,0.9770177979277286,0.69485597404491,1.660592,
adult,1000,20,100,150,300,0.7440744805179423,0.5291864682699468,1.652089,
adult,1000,20,100,150,500,0.49126203437522104,0.3493860195086526,,
adult,1000,20,100,150,750,0.25527750476995054,0.181553600768488,,
adult,1000,20,100,150,1000,,,,
adult,1000,20,100,150,1500,,,,
adult,1000,20,100,150,2000,,,,
adult,1000,20,200,300,1,3.1209687317429435,3.1943826799906527,2.01819,
adult,1000,20,200,300,5,2.9262496334601886,2.9950832417452515,1.927045,
adult,1000,20,200,300,10,2.7308612276593665,2.795098751989544,1.902543,
adult,1000,20,200,300,20,2.434361095301833,2.4916241039468825,1.799639,
adult,1000,20,200,300,30,2.133421916294167,2.1836059904120386,1.731862,
adult,1000,20,200,300,50,1.8214085474219162,1.8642531909706812,1.544617,
adult,1000,20,200,300,75,1.5447706866887445,1.5811080309542258,1.469787,
adult,1000,20,200,300,100,1.4060723868290181,1.4391471576171095,1.426762,
adult,1000,20,200,300,150,1.118719048162337,1.145034461537097,1.389492,
adult,1000,20,200,300,200,0.9770177979277286,1.0,1.384758,
adult,1000,20,200,300,300,0.7440744805179423,0.7615772016601304,1.356941,
adult,1000,20,200,300,500,0.49126203437522104,0.5028178968870334,1.367169,
adult,1000,20,200,300,750,0.25527750476995054,0.2612823485011209,,
adult,1000,20,200,300,1000,,,,
adult,1000,20,200,300,1500,,,,
adult,1000,20,200,300,2000,,,,
adult,1000,50,100,200,1,2.127212327830953,1.7439992958326727,1.757322,
adult,1000,50,100,200,5,2.060203572451214,1.689062033262344,1.737717,
adult,1000,50,100,200,10,1.9844229125860293,1.6269331071962856,1.653708,
adult,1000,50,100,200,20,1.8214085474219162,1.4932854527814998,1.534634,
adult,1000,50,100,200,30,1.7228953029998642,1.4125191716470553,1.457451,
adult,1000,50,100,200,50,1.51824059190242,1.244732596055554,1.382868,
adult,1000,50,100,200,75,1.367116369501291,1.1208330990459756,1.356525,
adult,1000,50,100,200,100,1.2197323318386522,1.0,1.367116,
adult,1000,50,100,200,150,1.0428622119940065,0.8549926773048415,1.323571,
adult,1000,50,100,200,200,0.8914284211356966,0.7308393799744057,1.280257,
adult,1000,50,100,200,300,0.685930453600142,0.5623614588998842,1.280257,
adult,1000,50,100,200,500,0.4712192815849559,0.3863300736438045,,
adult,1000,50,100,200,750,0.2285316216684414,0.1873621086389894,,
adult,1000,50,100,200,1000,,,,
adult,1000,50,100,200,1500,,,,
adult,1000,50,100,200,2000,,,,
adult,1000,50,200,500,1,2.127212327830953,2.3862962829038414,1.646574,
adult,1000,50,200,500,5,2.060203572451214,2.311126192079983,1.619013,
adult,1000,50,200,500,10,1.9844229125860293,2.226115822129428,1.513322,
adult,1000,50,200,500,20,1.8214085474219162,2.0432471124281717,1.423712,
adult,1000,50,200,500,30,1.7228953029998642,1.9327354413996167,1.327603,
adult,1000,50,200,500,50,1.51824059190242,1.703154797295057,1.244815,
adult,1000,50,200,500,75,1.367116369501291,1.533624391019033,1.137832,
adult,1000,50,200,500,100,1.2197323318386522,1.3682897055096024,1.106547,
adult,1000,50,200,500,150,1.0428622119940065,1.169877678642308,1.065878,
adult,1000,50,200,500,200,0.8914284211356966,1.0,1.058891,
adult,1000,50,200,500,300,0.685930453600142,0.7694733949880729,1.051451,
adult,1000,50,200,500,500,0.4712192815849559,0.5286114626955842,1.022886,
adult,1000,50,200,500,750,0.2285316216684414,0.2563656444533009,,
adult,1000,50,200,500,1000,,,,
adult,1000,50,200,500,1500,,,,
adult,1000,50,200,500,2000,,,,
adult,2000,10,200,150,1,4.315904574337533,3.6299161166633374,2.926226,
adult,2000,10,200,150,5,4.039952773021203,3.3978252829186695,2.770803,
adult,2000,10,200,150,10,3.7374680511564624,3.143418785270425,2.677796,
adult,2000,10,200,150,20,2.9995204959929285,2.5227637921855552,2.411509,
adult,2000,10,200,150,30,2.6444740703033487,2.2241499742532764,2.375731,
adult,2000,10,200,150,50,2.1825026694066114,1.8356062971007285,2.211688,
adult,2000,10,200,150,75,1.9343129345108394,1.6268649073940649,2.168605,
adult,2000,10,200,150,100,1.7019093195294392,1.4314005237262923,2.036171,
adult,2000,10,200,150,150,1.3623765444705862,1.1458345499904767,1.973939,
adult,2000,10,200,150,200,1.1889819036106994,1.0,2.008885,
adult,2000,10,200,150,300,0.9704775748616488,0.8162256901593734,1.980765,
adult,2000,10,200,150,500,0.709666061852391,0.5968686821029635,1.974806,
adult,2000,10,200,150,750,0.5444792065345873,0.45793733687713256,,
adult,2000,10,200,150,1000,0.43212249895340393,0.363439088215838,,
adult,2000,10,200,150,1500,0.21066523332833167,0.17718119400184615,,
adult,2000,10,200,150,2000,,,,
adult,2000,10,400,300,1,4.315904574337533,5.09838401306445,2.495091,
adult,2000,10,400,300,5,4.039952773021203,4.772401770414086,2.402106,
