dataset,N,k,z,knee_O,O,D_kO1,rho_O,radius_at_O,radius_at_Oz
diabetes,500,10,100,200,50,1.834575712679452,1.3064718640312911,1.892948,
diabetes,500,10,100,200,75,1.5494431881260162,1.1034180362308554,1.831233,
diabetes,500,10,100,200,100,1.4042213714565785,1.0000000000000002,1.793122,
diabetes,500,10,100,200,150,1.1237759385646255,0.8002840302871542,1.750903,
diabetes,500,10,100,200,200,0.9945295689849413,0.7082427238330167,1.734291,
diabetes,500,10,100,200,300,0.7406796221153065,0.5274664217273736,1.709052,
diabetes,500,10,100,200,500,,,,
diabetes,500,10,100,200,750,,,,
diabetes,500,10,100,200,1000,,,,
diabetes,500,10,100,200,1500,,,,
diabetes,500,10,100,200,2000,,,,
diabetes,500,20,50,75,1,2.794182140439731,1.6285360627852945,2.231749,
diabetes,500,20,50,75,5,2.56938312694271,1.4975162215730664,2.060816,
diabetes,500,20,50,75,10,2.4115699629718734,1.4055378122241646,2.018587,
diabetes,500,20,50,75,20,2.1177754295659756,1.2343052408838484,1.978032,
diabetes,500,20,50,75,30,1.9543854629112916,1.1390764978669152,1.899457,
diabetes,500,20,50,75,50,1.7157631349353268,1.0,1.885177,
diabetes,500,20,50,75,75,1.4343597711462674,0.8359893868452498,1.79781,
diabetes,500,20,50,75,100,1.3435781820681938,0.7830790595223028,1.773767,
diabetes,500,20,50,75,150,1.076640641320387,0.6274995769512028,1.785185,
diabetes,500,20,50,75,200,0.9569085811900329,0.5577160166843789,,
diabetes,500,20,50,75,300,0.7266012028465703,0.4234857294995783,,
diabetes,500,20,50,75,500,,,,
diabetes,500,20,50,75,750,,,,
diabetes,500,20,50,75,1000,,,,
diabetes,500,20,50,75,1500,,,,
diabetes,500,20,50,75,2000,,,,
diabetes,500,20,100,300,1,2.794182140439731,2.07965727468021,2.029311,
diabetes,500,20,100,300,5,2.56938312694271,1.912343592084543,1.920112,
diabetes,500,20,100,300,10,2.4115699629718734,1.7948862188724297,1.888073,
diabetes,500,20,100,300,20,2.1177754295659756,1.5762204669817177,1.832686,
diabetes,500,20,100,300,30,1.9543854629112916,1.4546123842997147,1.715763,
diabetes,500,20,100,300,50,1.7157631349353268,1.277010268426823,1.626304,
diabetes,500,20,100,300,75,1.4343597711462674,1.0675670312972274,1.588914,
diabetes,500,20,100,300,100,1.3435781820681938,1.0,1.55165,
diabetes,500,20,100,300,150,1.076640641320387,0.8013234032001733,1.525424,
diabetes,500,20,100,300,200,0.9569085811900329,0.712209080172057,1.529195,
diabetes,500,20,100,300,300,0.7266012028465703,0.5407956251031854,1.465065,
diabetes,500,20,100,300,500,,,,
diabetes,500,20,100,300,750,,,,
diabetes,500,20,100,300,1000,,,,
diabetes,500,20,100,300,1500,,,,
diabetes,500,20,100,300,2000,,,,
diabetes,500,50,50,50,1,1.944460992813426,1.3595441007225195,1.682409,
diabetes,500,50,50,50,5,1.8978761949702643,1.3269725617072863,1.633201,
diabetes,500,50,50,50,10,1.834575712679452,1.2827136140660458,1.580344,
diabetes,500,50,50,50,20,1.7157631349353268,1.1996412666336895,1.523192,
diabetes,500,50,50,50,30,1.5672887020575665,1.0958297013345502,1.482766,
diabetes,500,50,50,50,50,1.430230171849561,1.0,1.449957,
diabetes,500,50,50,50,75,1.3237044704881398,0.9255184910386396,1.478554,
diabetes,500,50,50,50,100,1.1618102075804573,0.8123239394943086,1.470476,
diabetes,500,50,50,50,150,1.0137838053625823,0.7088256319271786,1.451152,
diabetes,500,50,50,50,200,0.9014445585549568,0.6302793608312827,,
diabetes,500,50,50,50,300,0.685307241020926,0.47915870781462594,,
diabetes,500,50,50,50,500,,,,
diabetes,500,50,50,50,750,,,,
diabetes,500,50,50,50,1000,,,,
diabetes,500,50,50,50,1500,,,,
diabetes,500,50,50,50,2000,,,,
diabetes,500,50,100,300,1,1.944460992813426,1.6736477095195161,1.549443,
diabetes,500,50,100,300,5,1.8978761949702643,1.633550972944807,1.521549,
diabetes,500,50,100,300,10,1.834575712679452,1.5790666157943913,1.465581,
diabetes,500,50,100,300,20,1.7157631349353268,1.4768015668484367,1.411938,
diabetes,500,50,100,300,30,1.5672887020575665,1.349005794433106,1.374659,
diabetes,500,50,100,300,50,1.430230171849561,1.2310359837757883,1.324573,
diabetes,500,50,100,300,75,1.3237044704881398,1.1393465661184348,1.273637,
diabetes,500,50,100,300,100,1.1618102075804573,1.0,1.271051,
diabetes,500,50,100,300,150,1.0137838053625823,0.8725898591249691,1.255244,
diabetes,500,50,100,300,200,0.9014445585549568,0.775896573014513,1.221385,
diabetes,500,50,100,300,300,0.685307241020926,0.5898616112593135,1.1861,
diabetes,500,50,100,300,500,,,,
diabetes,500,50,100,300,750,,,,
diabetes,500,50,100,300,1000,,,,
diabetes,500,50,100,300,1500,,,,
diabetes,500,50,100,300,2000,,,,
diabetes,1000,10,100,300,1,3.766400872207143,2.2953645658746713,2.856968,
diabetes,1000,10,100,300,5,3.527972865435144,2.150058950029308,2.645576,
diabetes,1000,10,100,300,10,3.0579187051468066,1.8635929841971708,2.530676,
diabetes,1000,10,100,300,20,2.862899694090599,1.7447421919319228,2.344249,
diabetes,1000,10,100,300,30,2.4803247673680775,1.5115888552621668,2.32039,
diabetes,1000,10,100,300,50,2.029927199874335,1.2371022426952336,2.187492,
diabetes,1000,10,100,300,75,1.7729433422903047,1.0804881007824805,2.169744,
diabetes,1000,10,100,300,100,1.6408726213702436,1.0,2.124385,
diabetes,1000,10,100,300,150,1.4395394380811755,0.8773011502130246,2.090006,
diabetes,1000,10,100,300,200,1.265737758728402,0.7713808751781246,2.070749,
diabetes,1000,10,100,300,300,1.030646186634339,0.6281085888151862,2.015793,
diabetes,1000,10,100,300,500,0.7733672374001925,0.4713146086588834,,
diabetes,1000,10,100,300,750,0.5263737681172257,0.32078892734383413,,
diabetes,1000,10,100,300,1000,,,,
diabetes,1000,10,100,300,1500,,,,
diabetes,1000,10,100,300,2000,,,,
diabetes,1000,10,200,300,1,3.766400872207143,2.975656565694131,2.578487,
diabetes,1000,10,200,300,5,3.527972865435144,2.7872857873651893,2.400506,
diabetes,1000,10,200,300,10,3.0579187051468066,2.4159180557423547,2.312083,
diabetes,1000,10,200,300,20,2.862899694090599,2.261842687672329,2.151364,
diabetes,1000,10,200,300,30,2.4803247673680775,1.9595881929443948,2.099194,
diabetes,1000,10,200,300,50,2.029927199874335,1.6037502127720837,1.888206,
diabetes,1000,10,200,300,75,1.7729433422903047,1.400719327573396,1.883016,
diabetes,1000,10,200,300,100,1.6408726213702436,1.2963764492723306,1.864154,
diabetes,1000,10,200,300,150,1.4395394380811755,1.1373125500556922,1.843025,
diabetes,1000,10,200,300,200,1.265737758728402,1.0,1.817542,
diabetes,1000,10,200,300,300,1.030646186634339,0.8142651821256853,1.7535,
diabetes,1000,10,200,300,500,0.7733672374001925,0.6110011588633812,1.783437,
diabetes,1000,10,200,300,750,0.5263737681172257,0.4158632105958793,,
diabetes,1000,10,200,300,1000,,,,
diabetes,1000,10,200,300,1500,,,,
diabetes,1000,10,200,300,2000,,,,
diabetes,1000,20,100,200,1,3.018369552902494,1.9011803779502099,2.461898,
diabetes,1000,20,100,200,5,2.934685032194065,1.8484700103426248,2.342313,
diabetes,1000,20,100,200,10,2.862899694090599,1.8032545806761038,2.240465,
diabetes,1000,20,100,200,20,2.4803247673680775,1.5622821182149793,2.136343,
diabetes,1000,20,100,200,30,2.1894751251427733,1.3790846591096628,1.913832,
diabetes,1000,20,100,200,50,1.899794621026988,1.1966236050051169,1.895829,
diabetes,1000,20,100,200,75,1.7335695156514472,1.0919234007644556,1.871229,
diabetes,1000,20,100,200,100,1.5876292370305234,1.0,1.83484,
diabetes,1000,20,100,200,150,1.4138014004689663,0.890511063599029,1.843452,
diabetes,1000,20,100,200,200,1.2329370822176222,0.7765900585981197,1.766616,
diabetes,1000,20,100,200,300,1.0137838053625823,0.6385519879054051,1.775431,
diabetes,1000,20,100,200,500,0.7642476412308199,0.48137664853052,,
diabetes,1000,20,100,200,750,0.5156359307806767,0.32478359478004704,,
diabetes,1000,20,100,200,1000,,,,
diabetes,1000,20,100,200,1500,,,,
diabetes,1000,20,100,200,2000,,,,
diabetes,1000,20,200,300,1,3.018369552902494,2.4481132058040656,2.261419,
diabetes,1000,20,200,300,5,2.934685032194065,2.3802390848003325,2.149827,
diabetes,1000,20,200,300,10,2.862899694090599,2.3220160504388794,2.093599,
diabetes,1000,20,200,300,20,2.4803247673680775,2.0117204706884486,1.953202,
diabetes,1000,20,200,300,30,2.1894751251427733,1.7758206454498668,1.770102,
diabetes,1000,20,200,300,50,1.899794621026988,1.5408690746894582,1.719302,
diabetes,1000,20,200,300,75,1.7335695156514472,1.4060486464835356,1.681921,
diabetes,1000,20,200,300,100,1.5876292370305234,1.2876806610236218,1.639934,
diabetes,1000,20,200,300,150,1.4138014004689663,1.1466938750240463,1.62441,
diabetes,1000,20,200,300,200,1.2329370822176222,1.0,1.572128,
diabetes,1000,20,200,300,300,1.0137838053625823,0.8222510458839798,1.523313,
diabetes,1000,20,200,300,500,0.7642476412308199,0.6198594009811157,1.508275,
diabetes,1000,20,200,300,750,0.5156359307806767,0.4182175540159991,,
diabetes,1000,20,200,300,1000,,,,
diabetes,1000,20,200,300,1500,,,,
diabetes,1000,20,200,300,2000,,,,
diabetes,1000,50,100,300,1,2.1694163134430213,1.4665052578071012,1.802677,
diabetes,1000,50,100,300,5,2.135454507221751,1.4435473925603546,1.785476,
diabetes,1000,50,100,300,10,2.029927199874335,1.3722119139303437,1.767916,
diabetes,1000,50,100,300,20,1.899794621026988,1.2842435005331225,1.699518,
diabetes,1000,50,100,300,30,1.8153830595511053,1.2271820697892808,1.652413,
diabetes,1000,50,100,300,50,1.7136561398077785,1.1584156178456493,1.59048,
diabetes,1000,50,100,300,75,1.5595337927642883,1.0542303441919552,1.578232,
diabetes,1000,50,100,300,100,1.4793102867472832,1.0,1.551383,
diabetes,1000,50,100,300,150,1.2971469278444017,0.876859263039789,1.533837,
diabetes,1000,50,100,300,200,1.1567770637387538,0.7819705399887961,1.520018,
diabetes,1000,50,100,300,300,0.9783055528038602,0.6613254579301038,1.486837,
diabetes,1000,50,100,300,500,0.7375441556967581,0.49857299195726873,,
diabetes,1000,50,100,300,750,0.47326269013701766,0.3199211783875516,,
diabetes,1000,50,100,300,1000,,,,
diabetes,1000,50,100,300,1500,,,,
diabetes,1000,50,100,300,2000,,,,
diabetes,1000,50,200,300,1,2.1694163134430213,1.8753970678078398,1.694789,
diabetes,1000,50,200,300,5,2.135454507221751,1.8460380778296808,1.678915,
diabetes,1000,50,200,300,10,2.029927199874335,1.7548128014515798,1.646845,
diabetes,1000,50,200,300,20,1.899794621026988,1.6423169862019646,1.578232,
diabetes,1000,50,200,300,30,1.8153830595511053,1.5693456556648075,1.551327,
diabetes,1000,50,200,300,50,1.7136561398077785,1.481405703419782,1.458033,
diabetes,1000,50,200,300,75,1.5595337927642883,1.3481714339354267,1.396947,
diabetes,1000,50,200,300,100,1.4793102867472832,1.2788205550740157,1.372416,
diabetes,1000,50,200,300,150,1.2971469278444017,1.1213456494823353,1.337131,
diabetes,1000,50,200,300,200,1.1567770637387538,1.0,1.312725,
diabetes,1000,50,200,300,300,0.9783055528038602,0.845716589194753,1.263552,
diabetes,1000,50,200,300,500,0.7375441556967581,0.6375853903197072,1.243211,
diabetes,1000,50,200,300,750,0.47326269013701766,0.4091217789255019,,
diabetes,1000,50,200,300,1000,,,,
diabetes,1000,50,200,300,1500,,,,
diabetes,1000,50,200,300,2000,,,,
diabetes,5000,10,500,500,1,5.139788174276176,3.90249746025987,3.282939,
diabetes,5000,10,500,500,5,4.619820842989082,3.5077008030898984,3.184813,
diabetes,5000,10,500,500,10,4.245981517047665,3.22385505486758,2.867885,
diabetes,5000,10,500,500,20,3.463147035918507,2.6294707201784138,2.729684,
diabetes,5000,10,500,500,30,3.22853489354495,2.4513362798640768,2.664064,
diabetes,5000,10,500,500,50,2.812007329322768,2.135078545811796,2.555762,
diabetes,5000,10,500,500,75,2.4944899668400295,1.8939964897693207,2.488178,
diabetes,5000,10,500,500,100,2.289463697791197,1.7383257758955326,2.396687,
diabetes,5000,10,500,500,150,2.0065778632169464,1.5235384707504185,2.309669,
diabetes,5000,10,500,500,200,1.8255624338201881,1.3860985161187898,2.281433,
diabetes,5000,10,500,500,300,1.5736548527233067,1.1948321327353482,2.24054,
diabetes,5000,10,500,500,500,1.3170509978842915,0.9999999999999998,2.217265,
diabetes,5000,10,500,500,750,1.125003133928058,0.8541834262570401,2.17864,
diabetes,5000,10,500,500,1000,0.9984101219796332,0.7580648916279455,2.198987,
diabetes,5000,10,500,500,1500,0.8109049658393453,0.6156974689226018,2.210483,
diabetes,5000,10,500,500,2000,0.7009617220365907,0.5322206377449425,,
diabetes,5000,10,1000,500,1,5.139788174276176,5.147972823117096,2.837265,
diabetes,5000,10,1000,500,5,4.619820842989082,4.627177490778006,2.78713,
diabetes,5000,10,1000,500,10,4.245981517047665,4.25274285944617,2.588948,
diabetes,5000,10,1000,500,20,3.463147035918507,3.4686617850506454,2.485731,
diabetes,5000,10,1000,500,30,3.22853489354495,3.2336760440123116,2.40835,
diabetes,5000,10,1000,500,50,2.812007329322768,2.8164851972325367,2.316682,
diabetes,5000,10,1000,500,75,2.4944899668400295,2.4984622170035604,2.198203,
diabetes,5000,10,1000,500,100,2.289463697791197,2.2931094621233217,2.137058,
diabetes,5000,10,1000,500,150,2.0065778632169464,2.0097731573857973,2.06624,
diabetes,5000,10,1000,500,200,1.8255624338201881,1.8284694772529841,1.994438,
diabetes,5000,10,1000,500,300,1.5736548527233067,1.5761607560659407,1.959017,
diabetes,5000,10,1000,500,500,1.3170509978842915,1.3191482827446317,1.885223,
diabetes,5000,10,1000,500,750,1.125003133928058,1.1267945998959004,1.866332,
diabetes,5000,10,1000,500,1000,0.9984101219796332,1.0,1.876005,
diabetes,5000,10,1000,500,1500,0.8109049658393453,0.8121962588194666,1.857438,
diabetes,5000,10,1000,500,2000,0.7009617220365907,0.7020779403224938,1.860747,
diabetes,5000,20,500,500,1,4.032084034889315,3.0886764729891634,2.849921,
diabetes,5000,20,500,500,5,3.7336044861123616,2.8600337284435122,2.780799,
diabetes,5000,20,500,500,10,3.463147035918507,2.652856607101266,2.656367,
diabetes,5000,20,500,500,20,3.22853489354495,2.4731378814604987,2.522376,
diabetes,5000,20,500,500,30,2.9665464282029146,2.2724482127694308,2.387737,
diabetes,5000,20,500,500,50,2.72049019184648,2.0839630270217477,2.316284,
diabetes,5000,20,500,500,75,2.410510177601813,1.8465106404122928,2.158815,
diabetes,5000,20,500,500,100,2.204670813883834,1.6888325775471584,2.133458,
diabetes,5000,20,500,500,150,1.9748780425776384,1.5128056097917832,2.057058,
diabetes,5000,20,500,500,200,1.783568842103746,1.366258012703743,1.993296,
diabetes,5000,20,500,500,300,1.5422977306807746,1.1814383514526758,1.961928,
diabetes,5000,20,500,500,500,1.305440718751336,1.0,1.91877,
diabetes,5000,20,500,500,750,1.1193916504856636,0.857481794773776,1.911154,
diabetes,5000,20,500,500,1000,0.9945295689849413,0.761834340464128,1.892738,
diabetes,5000,20,500,500,1500,0.8100961255285243,0.6205537439519946,1.901042,
diabetes,5000,20,500,500,2000,0.6976409283095998,0.5344102710208846,,
diabetes,5000,20,1000,750,1,4.032084034889315,4.054262598752724,2.577191,
diabetes,5000,20,1000,750,5,3.7336044861123616,3.754141256878904,2.526364,
diabetes,5000,20,1000,750,10,3.463147035918507,3.482196149736544,2.450561,
diabetes,5000,20,1000,750,20,3.22853489354495,3.2462935182913957,2.323813,
diabetes,5000,20,1000,750,30,2.9665464282029146,2.982863979831889,2.20884,
diabetes,5000,20,1000,750,50,2.72049019184648,2.735454305921871,2.117775,
diabetes,5000,20,1000,750,75,2.410510177601813,2.4237692400257957,1.982362,
diabetes,5000,20,1000,750,100,2.204670813883834,2.2167976525162683,1.933372,
diabetes,5000,20,1000,750,150,1.9748780425776384,1.9857409011913867,1.820106,
diabetes,5000,20,1000,750,200,1.783568842103746,1.793379400397448,1.744218,
diabetes,5000,20,1000,750,300,1.5422977306807746,1.5507811721022118,1.711752,
diabetes,5000,20,1000,750,500,1.305440718751336,1.312621323148515,1.662739,
diabetes,5000,20,1000,750,750,1.1193916504856636,1.1255488880317173,1.634282,
diabetes,5000,20,1000,750,1000,0.9945295689849413,1.0000000000000002,1.644927,
diabetes,5000,20,1000,750,1500,0.8100961255285243,0.814552076471032,1.635052,
diabetes,5000,20,1000,750,2000,0.6976409283095998,0.70147831705159,1.622992,
diabetes,5000,50,500,750,1,2.9534028749598353,2.318595664154414,2.334235,
diabetes,5000,50,500,750,5,2.86845086174013,2.251903317105393,2.302783,
diabetes,5000,50,500,750,10,2.812007329322768,2.2075918109976342,2.260478,
diabetes,5000,50,500,750,20,2.72049019184648,2.135745453716889,2.207048,
diabetes,5000,50,500,750,30,2.563819333812211,2.0127495782752263,2.064256,
diabetes,5000,50,500,750,50,2.3587582015002346,1.851764479934517,2.002236,
diabetes,5000,50,500,750,75,2.1720567706077563,1.7051928314036295,1.909752,
diabetes,5000,50,500,750,100,2.041389203172338,1.6026110746544815,1.836089,
diabetes,5000,50,500,750,150,1.8543419269610626,1.4557679171251334,1.717784,
diabetes,5000,50,500,750,200,1.699639696727789,1.334317530760637,1.688298,
diabetes,5000,50,500,750,300,1.4959812491195221,1.1744336227450847,1.66309,
diabetes,5000,50,500,750,500,1.2737895272640969,1.0,1.64068,
diabetes,5000,50,500,750,750,1.097161057757633,0.8613362209957601,1.598491,
diabetes,5000,50,500,750,1000,0.9820067639115792,0.7709333001196658,1.587629,
diabetes,5000,50,500,750,1500,0.8028452145878464,0.630280903872898,1.594094,
diabetes,5000,50,500,750,2000,0.6943279215138989,0.5450884205377383,,
diabetes,5000,50,1000,750,1,2.9534028749598353,3.0075178537423626,2.173844,
diabetes,5000,50,1000,750,5,2.86845086174013,2.9210092711728084,2.146088,
diabetes,5000,50,1000,750,10,2.812007329322768,2.8635315281555065,2.114204,
diabetes,5000,50,1000,750,20,2.72049019184648,2.7703375290513126,2.060768,
diabetes,5000,50,1000,750,30,2.563819333812211,2.610796002666902,1.928235,
diabetes,5000,50,1000,750,50,2.3587582015002346,2.4019775506481333,1.884019,
diabetes,5000,50,1000,750,75,2.1720567706077563,2.211855203477326,1.792904,
diabetes,5000,50,1000,750,100,2.041389203172338,2.078793424029966,1.696035,
diabetes,5000,50,1000,750,150,1.8543419269610626,1.8883188946425926,1.538071,
diabetes,5000,50,1000,750,200,1.699639696727789,1.7307820670783345,1.490179,
diabetes,5000,50,1000,750,300,1.4959812491195221,1.5233920010496198,1.434998,
diabetes,5000,50,1000,750,500,1.2737895272640969,1.297129076983415,1.405687,
diabetes,5000,50,1000,750,750,1.097161057757633,1.117264257312613,1.383088,
diabetes,5000,50,1000,750,1000,0.9820067639115792,1.0,1.366184,
diabetes,5000,50,1000,750,1500,0.8028452145878464,0.8175556870809246,1.372709,
diabetes,5000,50,1000,750,2000,0.6943279215138989,0.707050039806464,1.361977,
covertype,500,10,50,100,1,4.449737420118208,1.6547096485147308,3.648373,
covertype,500,10,50,100,5,4.143344087216915,1.5407721379775616,3.644206,
covertype,500,10,50,100,10,3.868766853490654,1.4386659786668714,3.510954,
covertype,500,10,50,100,20,3.348310413474959,1.2451255038892113,3.436876,
covertype,500,10,50,100,30,3.087937321843035,1.1483013935520423,3.39488,
covertype,500,10,50,100,50,2.6891348727629025,1.0,3.311117,
covertype,500,10,50,100,75,2.314244735269888,0.8605908014171708,3.246241,
covertype,500,10,50,100,100,2.1087521666033164,0.7841749359476037,3.178385,
covertype,500,10,50,100,150,1.7250906717779708,0.6415039607163913,3.202308,
covertype,500,10,50,100,200,1.5250772561998718,0.567125610413493,,
covertype,500,10,50,100,300,1.2121746246342102,0.45076750776311325,,
covertype,500,10,50,100,500,,,,
covertype,500,10,50,100,750,,,,
covertype,500,10,50,100,1000,,,,
covertype,500,10,50,100,1500,,,,
covertype,500,10,50,100,2000,,,,
covertype,500,10,100,200,1,4.449737420118208,2.110128203109636,3.370703,
covertype,500,10,100,200,5,4.143344087216915,1.9648321660723311,3.343598,
covertype,500,10,100,200,10,3.868766853490654,1.8346237717077443,3.240418,
covertype,500,10,100,200,20,3.348310413474959,1.5878159920842037,3.138282,
covertype,500,10,100,200,30,3.087937321843035,1.464343402106349,3.085269,
covertype,500,10,100,200,50,2.6891348727629025,1.275225659682162,2.999077,
covertype,500,10,100,200,75,2.314244735269888,1.097447472453612,2.939737,
covertype,500,10,100,200,100,2.1087521666033164,1.0,2.810582,
covertype,500,10,100,200,150,1.7250906717779708,0.8180623114932798,2.801125,
covertype,500,10,100,200,200,1.5250772561998718,0.7232131306621953,2.646163,
covertype,500,10,100,200,300,1.2121746246342102,0.5748302924505001,2.641166,
covertype,500,10,100,200,500,,,,
covertype,500,10,100,200,750,,,,
covertype,500,10,100,200,1000,,,,
covertype,500,10,100,200,1500,,,,
covertype,500,10,100,200,2000,,,,
covertype,500,20,50,100,1,3.8441672946155507,1.492007666415094,3.235766,
covertype,500,20,50,100,5,3.524939462507003,1.368108174968363,3.126497,
covertype,500,20,50,100,10,3.348310413474959,1.2995544739791938,3.068216,
covertype,500,20,50,100,20,3.087937321843035,1.1984978291793786,2.971624,
covertype,500,20,50,100,30,2.8666410376207443,1.1126077709940072,2.953348,
covertype,500,20,50,100,50,2.576506395474551,1.0,2.874539,
covertype,500,20,50,100,75,2.2199495899351964,0.8616122955620754,2.790576,
covertype,500,20,50,100,100,2.002895803408543,0.7773688460181919,2.767547,
covertype,500,20,50,100,150,1.6846841311057312,0.6538637490148513,2.724677,
covertype,500,20,50,100,200,1.489502126132056,0.5781092291283498,,
covertype,500,20,50,100,300,1.1731446539522479,0.4553237888377814,,
covertype,500,20,50,100,500,,,,
covertype,500,20,50,100,750,,,,
covertype,500,20,50,100,1000,,,,
covertype,500,20,50,100,1500,,,,
covertype,500,20,50,100,2000,,,,
covertype,500,20,100,300,1,3.8441672946155507,1.9193046827865525,3.023201,
covertype,500,20,100,300,5,3.524939462507003,1.7599215378594508,2.942647,
covertype,500,20,100,300,10,3.348310413474959,1.671734699217393,2.82208,
covertype,500,20,100,300,20,3.087937321843035,1.541736378191996,2.654724,
covertype,500,20,100,300,30,2.8666410376207443,1.431248212084859,2.633949,
covertype,500,20,100,300,50,2.576506395474551,1.286390630550942,2.59793,
covertype,500,20,100,300,75,2.2199495899351964,1.1083699841785428,2.510357,
covertype,500,20,100,300,100,2.002895803408543,1.0,2.477862,
covertype,500,20,100,300,150,1.6846841311057312,0.8411242003896175,2.372008,
covertype,500,20,100,300,200,1.489502126132056,0.743674295785737,2.349357,
covertype,500,20,100,300,300,1.1731446539522479,0.5857242558278777,2.270966,
covertype,500,20,100,300,500,,,,
covertype,500,20,100,300,750,,,,
covertype,500,20,100,300,1000,,,,
covertype,500,20,100,300,1500,,,,
covertype,500,20,100,300,2000,,,,
covertype,500,50,50,75,1,2.824641372134907,1.3064978665104636,2.560567,
covertype,500,50,50,75,5,2.7784608293920137,1.2851377104343373,2.501467,
covertype,500,50,50,75,10,2.6891348727629025,1.2438212541538243,2.43501,
covertype,500,50,50,75,20,2.576506395474551,1.1917265469328733,2.322242,
covertype,500,50,50,75,30,2.361443063153891,1.0922520481120888,2.277884,
covertype,500,50,50,75,50,2.1619946304843696,1.0,2.277884,
covertype,500,50,50,75,75,1.95615967708378,0.9047939571642346,2.262163,
covertype,500,50,50,75,100,1.7974070219323013,0.8313651646441015,2.232308,
covertype,500,50,50,75,150,1.5741120900358572,0.7280832560084554,2.222973,
covertype,500,50,50,75,200,1.407846643585172,0.6511795282626398,,
covertype,500,50,50,75,300,1.0956523910904652,0.5067784978008928,,
covertype,500,50,50,75,500,,,,
covertype,500,50,50,75,750,,,,
covertype,500,50,50,75,1000,,,,
covertype,500,50,50,75,1500,,,,
covertype,500,50,50,75,2000,,,,
covertype,500,50,100,200,1,2.824641372134907,1.5715090336624356,2.37659,
covertype,500,50,100,200,5,2.7784608293920137,1.5458161648912616,2.30459,
covertype,500,50,100,200,10,2.6891348727629025,1.4961190425705302,2.22378,
covertype,500,50,100,200,20,2.576506395474551,1.433457399484664,2.133313,
covertype,500,50,100,200,30,2.361443063153891,1.313805406532363,2.108752,
covertype,500,50,100,200,50,2.1619946304843696,1.2028408724920405,2.01153,
covertype,500,50,100,200,75,1.95615967708378,1.0883231528609538,2.03032,
covertype,500,50,100,200,100,1.7974070219323013,1.0,1.973601,
covertype,500,50,100,200,150,1.5741120900358572,0.8757682989040563,1.956262,
covertype,500,50,100,200,200,1.407846643585172,0.7832653519243891,1.894063,
covertype,500,50,100,200,300,1.0956523910904652,0.6095738904550316,1.894484,
covertype,500,50,100,200,500,,,,
covertype,500,50,100,200,750,,,,
covertype,500,50,100,200,1000,,,,
covertype,500,50,100,200,1500,,,,
covertype,500,50,100,200,2000,,,,
covertype,1000,10,100,150,1,5.060583752891833,2.0663339415699826,4.060079,
covertype,1000,10,100,150,5,4.806682006598503,1.9626609619675817,3.897521,
covertype,1000,10,100,150,10,4.1943853313521045,1.7126484210924124,3.720506,
covertype,1000,10,100,150,20,3.882509597345281,1.585303544256397,3.662362,
covertype,1000,10,100,150,30,3.5274918519309533,1.4403429521527538,3.719239,
covertype,1000,10,100,150,50,3.0772262077047503,1.2564908060726088,3.576849,
covertype,1000,10,100,150,75,2.735444738280424,1.1169348407222526,3.404158,
covertype,1000,10,100,150,100,2.4490638473696293,1.0,3.418412,
covertype,1000,10,100,150,150,2.1147352319353163,0.8634871786648631,3.338596,
covertype,1000,10,100,150,200,1.8826728532679722,0.7687316340445846,3.291899,
covertype,1000,10,100,150,300,1.606673306597858,0.6560356963839367,3.353792,
covertype,1000,10,100,150,500,1.2166871614898311,0.49679683230659377,,
covertype,1000,10,100,150,750,0.8482847609149851,0.34637102737279357,,
covertype,1000,10,100,150,1000,,,,
covertype,1000,10,100,150,1500,,,,
covertype,1000,10,100,150,2000,,,,
covertype,1000,10,200,500,1,5.060583752891833,2.687978287947157,3.790568,
covertype,1000,10,200,500,5,4.806682006598503,2.5531159055355754,3.605639,
covertype,1000,10,200,500,10,4.1943853313521045,2.2278885702693523,3.430215,
covertype,1000,10,200,500,20,3.882509597345281,2.0622327403329592,3.295433,
covertype,1000,10,200,500,30,3.5274918519309533,1.873661611366988,3.228622,
covertype,1000,10,200,500,50,3.0772262077047503,1.6344986344086572,3.249483,
covertype,1000,10,200,500,75,2.735444738280424,1.4529580821926644,3.025566,
covertype,1000,10,200,500,100,2.4490638473696293,1.3008440861716932,3.01211,
covertype,1000,10,200,500,150,2.1147352319353163,1.1232621898512676,2.974157,
covertype,1000,10,200,500,200,1.8826728532679722,1.0000000000000002,2.896623,
covertype,1000,10,200,500,300,1.606673306597858,0.8534001559585725,2.894109,
covertype,1000,10,200,500,500,1.2166871614898311,0.6462552213348629,2.803659,
covertype,1000,10,200,500,750,0.8482847609149851,0.45057470257911225,,
covertype,1000,10,200,500,1000,,,,
covertype,1000,10,200,500,1500,,,,
covertype,1000,10,200,500,2000,,,,
covertype,1000,20,100,200,1,4.185419433113391,1.7661289999499377,3.533851,
covertype,1000,20,100,200,5,4.12142963795833,1.7391271104785777,3.459181,
covertype,1000,20,100,200,10,3.882509597345281,1.6383095892864334,3.291424,
covertype,1000,20,100,200,20,3.5274918519309533,1.48850210984663,3.150294,
covertype,1000,20,100,200,30,3.282190583680429,1.384991890499394,3.046764,
covertype,1000,20,100,200,50,2.9910913985696492,1.2621562414319583,3.105457,
covertype,1000,20,100,200,75,2.621155534293015,1.1060537364233982,2.999077,
covertype,1000,20,100,200,100,2.369826571689854,1.0,2.927298,
